name,analysis_no_of_clusters_score,analysis_infiltration_score,analysis_mrca_score,analysis_total_score,n_d_0,n_d_1,n_d_2,n_d_3,n_d_4,n_s,n_p,Ne_d_0,Ne_d_1,Ne_d_2,Ne_d_3,Ne_d_4,Ne_s,Ne_p,Ne_actual,mut_haplotypes_sample, mut_haplotypes_population
5_13_1000_0.00025_2.5e-05_0.5_100,0.22282282282282284,1.0,0.5167604767358858,0.38349004748635884,19,19,12,11,8,3,4,6595.121551597616,6595.121551597616,3418.029891996547,3032.81314517159,1977.6012026939577,568.1884865785433,529.3600845982583,1000,111,1012 
5_15_1000_0.00025_0.0025_0.5_100,0.06785501489572988,0.7328445522877185,0.02120072654270587,0.16060530225157454,58,58,23,9,4,6,8,52478.39668020282,52478.39668020282,9043.49479797215,2349.0410279811654,821.7881397568794,1377.351363039199,1181.77014416186,1000,106,1028 
5_16_1000_0.0025_2.5e-05_0.5_100,0.6666666666666666,0.8893524699599465,0.47910995074225404,0.6719360297719967,32,32,18,13,10,25,41,1546.4257777909838,1546.4257777909838,619.5630631439965,387.65913446049456,269.921461732568,1026.3409819050364,853.8126602695767,1000,107,1031 
5_14_1000_0.00025_0.00025_0.5_100,0.08116883116883117,0.7439070294871586,0.04258716394071121,0.1747923108323623,44,44,20,13,9,5,5,30351.219231880033,30351.219231880033,7558.527640480381,4002.73791819993,2405.549022752067,1110.8200056678322,685.0623235920798,1000,99,1012 
5_17_1000_0.0025_0.00025_0.5_100,0.4330637915543576,0.815233961944488,0.20845840453701936,0.4566985090602764,45,45,23,14,7,21,32,2953.349215123322,2953.349215123322,904.3494797972149,432.11579368665605,168.33317289779274,785.356208768615,625.9600320499634,1000,106,1033 
5_16_1000_0.0025_2.5e-05_0.7_100,0.44047619047619047,0.7110500990097566,0.2258102660088689,0.4488623880861271,32,32,23,13,10,20,32,1260.5519582709674,1260.5519582709674,765.0286874452954,344.1199858190363,242.7124656413152,625.1425364934191,581.6227755469199,1000,147,1420 
5_13_1000_0.00025_2.5e-05_0.7_100,0.16513480392156862,0.8742126937984496,0.3201657975067239,0.2947511364408741,20,20,11,9,7,3,3,6307.17103286906,6307.17103286906,2771.0192403300093,2128.015042148303,1538.6095533742925,535.9842953817368,362.65791278798565,1000,144,1419 
5_15_1000_0.00025_0.0025_0.7_100,0.05616355758558866,0.7801359180035651,0.0018170005912156776,0.15660742809912917,69,69,31,15,8,5,8,55999.91189110179,55999.91189110179,12541.27765836198,4305.477756272562,1857.4300849192216,1020.4271822638846,1121.3866945206087,1000,136,1405 
5_14_1000_0.00025_0.00025_0.7_100,0.06896795209761242,0.545790016646287,0.013063349807655517,0.13210557143642004,44,44,35,22,13,5,5,21830.584574710894,21830.584574710894,14846.034966052453,7284.521536882778,3483.3150996620598,1009.3702881504582,650.6008652659624,1000,142,1415 
6_14_1000_0.00025_0.00025_0.5_100,0.06240703177822853,0.8710269401878398,0.021424620312800513,0.17755265631985598,41,41,12,7,6,3,4,31157.660408386226,31157.660408386226,3811.2798972117484,1808.1274574079193,1473.3760245057474,605.9792344823419,530.001334735366,1000,85,1004 
