name,analysis_no_of_clusters_score,analysis_infiltration_score,analysis_mrca_score,analysis_total_score,n_d_0,n_d_1,n_d_2,n_d_3,n_d_4,n_s,n_p,Ne_d_0,Ne_d_1,Ne_d_2,Ne_d_3,Ne_d_4,Ne_s,Ne_p,Ne_actual,mut_haplotypes_sample, mut_haplotypes_population,method
3_15_1000_0.00025_0.0025_0.5_100,0.0535516012155212,0.7287115951178451,0.1036674129753,0.1623429720648366,74,74,19,2,1,5,6,148061.22363674155,148061.22363674155,7101.838665761464,357.3228635878246,155.6086238524778,1120.537468596909,846.7548060721481,1000,96,1011.0,SINGER
9_14_1000_0.00025_0.00025_0.5_100,0.0686932215234102,0.9331132309623156,0.2216458855609798,0.2212991225448814,50,50,15,12,8,5,6,36965.15368065162,36965.15368065162,4769.006909224502,3479.391523090576,2007.329945421699,1089.8982193906686,847.4445496254266,1000,106,1006.0,SINGER
10_14_1000_0.00025_0.00025_0.5_100,0.035600098376783,0.8947559443932397,0.2051526792058043,0.1899063624036047,61,61,26,11,5,3,6,58916.52192619944,58916.52192619944,10931.4419512139,3074.2668843321967,1087.0906926139717,573.0760583514901,847.7217484521294,1000,107,1004.0,SINGER
7_14_1000_0.00025_0.00025_0.7_100,0.0336821451929365,0.8202132543614478,0.3749664148800796,0.2028544520212847,81,81,35,13,5,4,5,81181.37847700092,81181.37847700092,15046.640080396932,3509.8810916391644,1014.805840938493,768.799923526017,650.3264145429616,1000,139,1419.0,SINGER
9_14_1000_0.00025_0.00025_0.7_100,0.0368686868686868,0.7640035278142245,0.4419003525184155,0.2066936628579768,78,78,28,19,8,4,6,67410.2370927914,67410.2370927914,10256.554467919656,5811.533386224267,1815.5813690469984,758.779246780161,801.0812211532465,1000,147,1433.0,SINGER
10_15_1000_0.00025_0.0025_0.5_100,0.024109738372093,0.8573329076202639,0.1645207811061209,0.1701548701694228,77,77,15,2,1,2,5,180756.98130145157,180756.98130145157,4986.18337393319,357.3228635878246,155.6086238524778,357.3228635878246,685.2773891328243,1000,96,1010.0,SINGER
8_15_1000_0.00025_0.0025_0.7_100,0.0261650758001123,0.9007489922649526,0.2954405881527232,0.1977439901227299,94,94,28,8,3,3,3,132138.04642863353,132138.04642863353,10648.893758093276,1853.3969867813528,541.8372687471125,541.8372687471125,362.5877101261931,1000,137,1421.0,SINGER
7_13_1000_0.00025_2.5e-05_0.5_100,0.1242377789133026,0.7753399806092558,0.2591435871231476,0.2421389803991723,32,32,21,15,12,6,10,15908.535451049383,15908.535451049383,7976.101841654332,4829.731870223347,3518.874924226216,1389.0475882921116,1540.5924636806344,1000,103,1014.0,SINGER
7_13_1000_0.00025_2.5e-05_0.7_100,0.0886681383370125,0.6814056748527226,0.6292374006453016,0.2586641581606124,44,44,25,12,11,6,8,20867.688066734947,20867.688066734947,8539.42581511638,3062.7507553489213,2728.574358712451,1249.219227528851,1121.6469372248378,1000,151,1403.0,SINGER
10_13_1000_0.00025_2.5e-05_0.7_100,0.184931506849315,0.8752557881850432,0.3380114602918791,0.3114421420660589,18,18,12,10,6,2,5,5399.559987198131,5399.559987198131,3097.592975157668,2432.333673302887,1260.2730059271926,327.80516072008686,650.3949313544109,1000,146,1418.0,SINGER
9_15_1000_0.00025_0.0025_0.7_100,0.0478721639238652,0.4611534798620809,0.2853206209559352,0.145481629869408,81,81,31,14,8,6,7,74879.6500684243,74879.6500684243,12040.999988788892,3813.9588711800648,1819.1702932771375,1260.2730059271926,958.3166687557712,1000,146,1424.0,SINGER
8_13_1000_0.00025_2.5e-05_0.7_100,0.1447588093208298,0.711458529393312,0.3472062274185035,0.2601308800463531,46,46,26,16,11,9,12,24162.02810933213,24162.02810933213,9470.085220430215,4682.860105692015,2810.3483781751625,2155.9294355060983,1802.8442979155125,1000,138,1400.0,SINGER
