name,analysis_no_of_clusters_score,analysis_infiltration_score,analysis_mrca_score,analysis_total_score,n_d_0,n_d_1,n_d_2,n_d_3,n_d_4,n_s,n_p,Ne_d_0,Ne_d_1,Ne_d_2,Ne_d_3,Ne_d_4,Ne_s,Ne_p,Ne_actual,mut_haplotypes_sample, mut_haplotypes_population
8_15_1000_0.00025_0.0025_0.7_100,0.0633022904606091,0.8874412405971015,0.03769640474240165,0.18308225012335183,59,59,32,20,10,3,3,39316.81657612354,39316.81657612354,13134.86716061759,6446.60177890168,2482.112415843283,541.8372687471125,362.5877101261931,1000,137,1421 
8_14_1000_0.00025_0.00025_0.7_100,0.07547905525846701,0.7005827256373174,0.011329182385747243,0.1596221248843866,52,52,28,13,9,6,7,30765.860025080998,30765.860025080998,10691.627392857976,3537.49808915914,2165.6932946041666,1284.2879697620056,960.7968242637319,1000,136,1401 
5_16_1000_0.0025_2.5e-05_0.5_100,0.7219626168224298,0.836576040781648,0.6280077386441092,0.7250613986895644,31,31,18,13,8,25,41,1464.2105427311958,1464.2105427311958,619.5630631439965,387.65913446049456,200.1193065027174,1026.3409819050364,853.8126602695767,1000,107,1031 
9_15_1000_0.00025_0.0025_0.5_100,0.11754726754726753,0.6630702346814878,0.03197499632463693,0.186539871934006,59,59,25,12,2,10,11,61516.6736863093,61516.6736863093,10767.269197348436,3575.021368660183,354.95912897829317,2776.5725278990017,1729.0384937961232,1000,99,1000 
9_14_1000_0.00025_0.00025_0.5_100,0.0895440251572327,0.8673088381330685,0.03660628486150117,0.19826808605924834,43,43,22,11,8,5,6,26935.071910740517,26935.071910740517,8437.824444711934,3085.0766622047267,2007.329945421699,1089.8982193906686,847.4445496254266,1000,106,1006 
9_13_1000_0.00025_2.5e-05_0.5_100,0.2705882352941177,0.8585113879231526,0.10860709923624687,0.3344795377797923,8,8,7,6,5,4,5,2032.9144771729398,2032.9144771729398,1703.6831799456504,1393.072563689416,1101.569380776885,829.9718940271836,684.6338981531534,1000,102,1016 
9_13_1000_0.00025_2.5e-05_0.7_100,0.18961352657004832,0.7917396340589395,0.06989617706502196,0.2619748402676281,11,11,8,5,3,4,4,2810.3483781751625,2810.3483781751625,1849.4124047866449,1016.6584457586001,540.9743374134555,770.1141424110231,504.17926923303366,1000,138,1406 
6_16_1000_0.0025_2.5e-05_0.5_100,0.6118618618618619,0.8922350922350923,0.4237019195121047,0.6256938550653829,29,29,17,11,10,21,37,1276.6480977748452,1276.6480977748452,559.9278820922751,303.281314517159,266.43221386607485,766.5365967332277,743.5602492715686,1000,111,1070 
9_15_1000_0.00025_0.0025_0.7_100,0.06316220494655339,0.5525536532077608,0.00764454958242551,0.1282432738811153,62,62,33,22,14,6,7,40703.65494265781,40703.65494265781,13284.53423505336,7192.7912432169105,3813.9588711800648,1260.2730059271926,958.3166687557712,1000,146,1424 
9_14_1000_0.00025_0.00025_0.7_100,0.06313775510204082,0.7761229070752881,0.008964266749513396,0.1619595046451488,44,44,28,19,12,4,6,21276.571669706886,21276.571669706886,10256.554467919656,5811.533386224267,3090.4588018652844,758.779246780161,801.0812211532465,1000,147,1433 
5_17_1000_0.0025_0.00025_0.7_100,0.2126724763979666,0.4592364111840129,0.053552385705036655,0.22578905301193405,49,49,32,20,14,20,29,2493.417450015012,2493.417450015012,1232.5482215909924,614.6344437376289,375.059444279027,614.6344437376289,516.2079865619172,1000,153,1416 
6_17_1000_0.0025_0.00025_0.7_100,0.20145225218434554,0.49920584859836903,0.09198068032929989,0.2296945558681922,51,51,32,19,13,18,28,3025.568968314786,3025.568968314786,1337.2646542425873,606.5897127819057,356.62372415577875,561.3601305470075,495.6449706680824,1000,133,1403 
10_15_1000_0.00025_0.0025_0.5_100,0.03343563988095238,0.7944792808845029,0.0002682987372628748,0.14261708485993152,53,53,22,10,6,2,5,48621.339125460414,48621.339125460414,8928.436335477687,2808.593778645774,1418.6766947655353,357.3228635878246,685.2773891328243,1000,96,1010 
10_14_1000_0.00025_0.00025_0.5_100,0.0572429906542056,0.9519399603511753,0.02780582035778427,0.1870319605642879,39,39,20,13,10,3,6,22092.829126199384,22092.829126199384,7254.910710310028,3876.5913446049453,2699.2146173256797,573.0760583514901,847.7217484521294,1000,107,1004 
10_13_1000_0.00025_2.5e-05_0.5_100,1.0,1.0,1.0,1.0,4,4,3,2,2,4,4,823.7881696938739,823.7881696938739,575.6249988572148,350.53324416340877,350.53324416340877,823.7881696938739,527.0140132662715,1000,105,1042 
7_17_1000_0.0025_0.00025_0.5_100,0.29792929292929293,0.6097585389828319,0.09342481995209169,0.31402800889074356,41,41,23,16,8,19,30,2369.567420555004,2369.567420555004,885.7546377980132,514.8940365140154,198.3360845013531,662.4350362375538,580.9512522868396,1000,110,1010 
6_17_1000_0.0025_0.00025_0.5_100,0.3236428571428571,0.6004973544973544,0.15208204391847469,0.3394369097623744,43,43,25,13,5,18,20,2860.7741468218674,2860.7741468218674,1069.9018296505703,398.5907966830595,110.7686503083856,640.5447983928786,354.1186645200918,1000,100,1001 
10_13_1000_0.00025_2.5e-05_0.7_100,0.3095890410958904,0.8752557881850432,0.1454770066110683,0.36982224798653995,5,5,4,4,4,2,5,1002.3942143678593,1002.3942143678593,759.9861920095327,759.9861920095327,759.9861920095327,327.80516072008686,650.3949313544109,1000,146,1418 
10_15_1000_0.00025_0.0025_0.7_100,0.0637450595588985,0.667917911273371,0.023829055456240786,0.1483835867006707,74,74,26,11,5,6,7,70406.43958815979,70406.43958815979,9732.89965438035,2860.180531995028,1030.2397006164686,1297.3799121264674,956.6228141856623,1000,131,1440 
10_14_1000_0.00025_0.00025_0.7_100,0.035069249485307874,0.8952941299381513,0.015570909429085907,0.16117823054480107,43,43,26,15,14,2,3,21543.62947531526,21543.62947531526,9505.849276650697,4293.357391240968,3903.982726136131,331.93889808196366,362.728243554594,1000,137,1417 
8_17_1000_0.0025_0.00025_0.5_100,0.29271708683473385,0.6563621174965713,0.15287238842621984,0.32628713667273235,45,45,23,15,12,18,29,2635.3069019107174,2635.3069019107174,848.9620211336542,454.06339207300243,332.98147001362486,589.5185963968636,555.6652431822241,1000,119,1021 
