hap1_name,hap2_name,IBD_length,total_differences
0,172,546,516.017345605023
0,173,669,540.7743849760816
0,174,491,527.5469908797392
0,175,649,509.74970917826704
0,176,498,447.9395548575288
0,177,467,313.65641450296755
0,178,559,413.14756162340797
0,179,469,339.6979431697087
0,180,473,344.7182340660937
0,181,484,340.2380733005605
0,182,378,389.2932606809129
0,183,688,565.6389682569579
0,184,505,395.93731177991464
0,185,602,405.2221496368793
0,186,659,599.6950444617753
0,187,602,483.08930969822967
0,188,483,424.7966212451415
0,189,667,594.6255913337927
0,190,404,459.38097716459106
0,191,1341,61.60496583166214
0,192,467,307.69408288907914
0,193,440,303.2104677999928
0,194,537,465.18517292778654
0,195,1827,148.08613597791745
0,196,592,446.89262863172377
0,197,604,500.1522929907854
0,198,473,418.57981099191716
0,199,721,410.7882306237986
1,2,456,275.5014988380287
1,3,570,351.29505295436263
1,4,813,238.97348762172405
1,5,696,402.4000925835474
1,6,523,376.9404640050952
1,7,672,330.84952068934996
1,8,404,402.4302881848627
1,9,758,60.87226662177419
1,10,162,114.33215067217304
1,11,484,412.1169291702109
1,12,419,412.24059883494147
1,13,637,456.4957273093924
1,14,534,132.79168579698106
1,15,520,292.3832826096367
1,16,422,332.31799237333547
1,17,429,275.08003128226557
1,18,85,6.909534590709974
1,19,456,468.20816065665326
1,20,434,319.57904991672467
1,21,268,242.90254887456814
1,22,370,300.7089711607844
1,23,431,373.3521539570465
1,24,369,267.1176343881379
1,25,417,316.309458947347
1,26,784,201.2416043797729
1,27,420,321.55702081746807
1,28,641,549.9535577282494
1,29,435,119.85023847751064
1,30,495,205.1562778878481
1,31,169,93.83850546867164
1,32,426,347.20900613284067
1,33,870,305.4006513418419
1,34,426,350.29803870045333
1,35,490,367.3092830784042
1,36,616,319.2068438923618
1,37,539,209.38968514035588
1,38,624,388.606315609872
1,39,437,274.8229371963796
1,40,492,322.4023636350767
1,41,369,267.47332793634905
1,42,377,339.09801802405354
1,43,15,9.196463986045496
1,44,602,433.54691618535855
1,45,379,345.85613050513746
1,46,260,227.68800877820993
1,47,854,282.1875420059302
1,48,431,222.33590227788667
1,49,654,213.803301306551
1,50,385,341.93447223236575
1,51,258,228.3277748741197
1,52,498,207.54023430441197
1,53,413,287.6722946376357
1,54,370,299.9262666225425
1,55,357,326.82804621978636
1,56,328,97.9806585225858
1,57,657,141.0066122524828
1,58,384,324.8594706681232
1,59,878,90.69254994696297
1,60,536,202.4409878307739
1,61,790,235.62387945904743
1,62,413,286.14943636009673
1,63,526,485.1323195905578
1,64,614,544.482850796144
1,65,453,351.4553265137146
1,66,219,16.508849903635248
1,67,354,235.17536078200058
1,68,408,235.101084562501
1,69,462,348.3972890916509
1,70,747,229.22066408126702
1,71,221,17.404942920816662
1,72,569,61.24345262351023
1,73,569,61.24345262351022
1,74,637,456.6520703696709
1,75,563,444.06968315619565
1,76,426,348.98219321940496
1,77,434,315.3160441061669
1,78,656,332.36781277092035
1,79,556,361.02399253591744
1,80,529,371.00525925792635
1,81,523,376.82081686597786
1,82,552,500.60543405007826
1,83,503,358.4878292125826
1,84,219,16.811874784704997
1,85,325,254.97123330255764
1,86,501,200.3015673534966
1,87,535,406.25251922762976
1,88,944,242.59263641186377
1,89,548,117.42568274997318
1,90,415,256.23629309444584
1,91,415,316.1213052371363
1,92,490,338.68717889926904
1,93,586,231.35667306463435
1,94,616,486.5014246925609
1,95,372,300.3950244840901
1,96,659,221.48561039703216
1,97,389,141.97580438984903
1,98,358,286.2859315760141
1,99,415,310.883208815962
1,100,426,347.6756304907112
1,101,355,323.1176909224997
1,102,527,389.2685671958011
1,103,574,482.8120087680855
1,104,413,286.2114045898644
1,105,429,275.0800329368535
1,106,378,254.9556503700332
1,107,443,373.53348413349664
1,108,563,444.1152201644061
1,109,413,266.62515538319064
1,110,789,88.0635959594808
1,111,508,337.8296282619071
1,112,417,316.09212148033697
1,113,536,203.6095899816226
1,114,449,135.0372473895371
1,115,1493,304.23165294458295
1,116,556,361.02399154173094
1,117,821,256.5736961866019
1,118,523,284.58437708808304
1,119,457,299.5155139624006
1,120,469,445.1481578252511
1,121,377,339.097986648451
1,122,503,357.7587291288366
1,123,498,204.89445705222323
1,124,444,354.53707910524355
1,125,432,259.54634977503605
1,126,456,277.5001733036227
1,127,504,499.8155926882501
1,128,508,205.85372282587787
1,129,413,286.91198687360264
1,130,524,389.8560618195107
1,131,652,207.2600131817071
1,132,328,187.36869014756988
1,133,415,316.1325131901962
1,134,503,357.76738753655195
1,135,414,230.80847216759182
1,136,503,360.963876850097
1,137,659,221.7562744532361
1,138,408,232.3782325658731
1,139,894,354.1251593167345
1,140,219,16.356298662905374
1,141,499,345.88886557424377
1,142,448,92.581072528696
1,143,628,561.4400340560186
1,144,386,296.3118699638823
1,145,749,225.53832075146818
1,146,82,19.934772305288508
1,147,161,83.418340307024
1,148,5399,5.999966666759259
1,149,621,154.93379362454976
1,150,418,364.63233810152536
1,151,673,192.98865505226237
1,152,563,445.9417923129706
1,153,624,342.49003225708543
1,154,413,286.14943292881986
1,155,464,359.04483125241114
1,156,198,182.0788860159185
1,157,413,288.5220365370421
1,158,219,190.36500791030974
1,159,219,190.70151037891983
1,160,938,221.72198086555517
1,161,640,586.7537433370857
1,162,790,234.02243387602218
1,163,537,432.9954645946884
1,164,595,479.0315755641075
1,165,267,242.5055042459716
1,166,851,278.093374953455
1,167,357,326.73697290777403
1,168,446,245.67453411908082
1,169,847,380.65982062251146
1,170,529,184.51575800284067
1,171,741,205.91565241289777
1,172,386,295.418830618253
1,173,357,326.8280442560318
1,174,481,408.005469763092
1,175,503,359.07202338809094
1,176,501,200.3015673534966
1,177,665,102.34805027067966
1,178,389,141.68079845186367
1,179,569,301.404591464992
1,180,790,232.50921377395625
1,181,870,298.60582911225634
1,182,198,182.0789497300628
1,183,508,367.8112062351221
1,184,518,348.3188984767313
1,185,311,252.5327279780233
1,186,616,486.5014246925609
1,187,405,245.09727505357594
1,188,409,336.5238060411861
1,189,451,337.9931715019661
1,190,447,391.6132345205722
1,191,417,242.32336126178186
1,192,683,105.80102203906515
1,193,648,200.7299397799322
1,194,531,208.44311138359316
1,195,398,224.98290761522793
1,196,635,454.40824584842784
1,197,474,375.43727056614483
1,198,587,318.89007314043477
1,199,385,341.93447182202266
2,3,523,458.9324481629059
2,4,385,202.7942000156317
2,5,604,395.17714987617876
